*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=launch computer v1
*Date=14:57:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
112;;;112.255;-39.2571;0;Bottom;Copper Fill39
113;;;26.7588;-82.0054;0;Bottom;Copper Fill6
114;;;73.5329;-42.5338;0;Bottom;Copper Fill28
115;;;119.875;-39.2571;0;Bottom;Copper Fill36
116;;;82.0099;-95.214;-90;Bottom;TXT2
117;;;112.678;-20.4358;-90;Bottom;TXT2
118;;;127.573;-8.27928;0;Bottom;Via704
119;220;THT;46.2931;-28.5993;0;Bottom;R2
120;;;51.1301;-55.1321;0;Bottom;Copper Fill29
121;;;36.133;-89.5593;0;Bottom;Via730
122;;;7.43524;-10.3004;0;Bottom;TXT1
123;;;7.46466;-12.314;0;Bottom;TXT3
124;;THT;113.603;-15.8993;90;Bottom;J64
125;;;48.764;-2.14017;0;Bottom;TXT1
126;;;66.6132;-38.7592;0;Bottom;Via245
127;;THT;7.27614;-16.4074;-90;Bottom;J62
128;;;112.255;-38.2919;0;Bottom;Copper Fill40
129;;;112.255;-38.2919;0;Bottom;Copper Fill10
130;;;130.425;-20.4508;-90;Bottom;TXT2
131;;;5.65313;-109.879;0;Bottom;Hole6
132;;;69.9769;-79.4527;0;Bottom;Copper Fill42
133;;;120.371;-38.7618;0;Bottom;Copper Fill8
134;;;5.65313;-5.73928;0;Bottom;Hole4
135;;THT;108.523;-99.7193;90;Bottom;J66
136;;;66.704;-57.7993;0;Bottom;blkr11
137;;;56.3752;-7.25312;0;Bottom;Copper Fill18
138;;;56.3752;-7.25312;0;Bottom;Copper Fill52
139;;;65.6589;-79.4527;0;Bottom;Copper Fill12
140;;;107.253;-8.27928;0;Bottom;Via658
141;;THT;103.443;-15.8993;90;Bottom;J35
142;;;10.7331;-76.8593;0;Bottom;Via732
143;;;4.699;-15.9526;0;Bottom;Copper Fill23
144;;;69.1532;-36.2192;0;Bottom;Via638
145;;;127.573;-107.339;0;Bottom;Via708
146;;THT;113.613;-23.4806;90;Bottom;J15
147;;;99.992;-20.4855;-90;Bottom;TXT2
148;;;66.6132;-79.3993;0;Bottom;Via185
149;;;112.301;-107.455;0;Bottom;Via686
150;;;86.9012;-107.455;0;Bottom;Via687
151;;;145.353;-109.879;0;Bottom;Hole5
152;;;119.875;-38.2919;0;Bottom;Copper Fill37
153;;;5.6261;-15.0509;0;Bottom;Copper Fill22
154;;THT;83.133;-92.0606;90;Bottom;J16
155;;;65.6843;-23.5726;0;Bottom;Copper Fill17
156;;;59.6324;-37.5069;90;Bottom;TXT1
157;;;36.106;-7.25312;0;Bottom;Copper Fill56
158;;;112.751;-38.7618;0;Bottom;Copper Fill11
159;;;5.65312;-53.9994;0;Bottom;Via736
160;;;14.506;-100.279;0;Bottom;blkr7
161;;;14.3549;-31.7724;-90;Bottom;microSD Transflash2
162;;THT;113.613;-92.0606;90;Bottom;J21
163;;;13.2461;-15.0509;0;Bottom;Copper Fill21
164;;THT;93.2831;-15.8993;90;Bottom;J36
165;;;127.795;-95.1359;-90;Bottom;TXT2
166;;;38.5492;-1.99878;0;Bottom;TXT1
167;;;76.7731;-8.27928;0;Bottom;Via705
168;;;70.4087;-81.853;0;Bottom;Copper Fill1
169;;;5.65312;-79.3993;0;Bottom;Via734
170;;;115.207;-20.3994;-90;Bottom;TXT2
171;;;66.6132;-36.2192;0;Bottom;Via215
