*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=launch computer v1
*Date=12:26:42
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
113;;;65.6589;-79.4527;0;Bottom;Copper Fill45
114;;;13.2461;-40.4509;0;Bottom;Copper Fill15
115;;;132.835;-57.6086;-90;Bottom;TXT4
116;;;97.093;-41.2994;0;Bottom;Via715
117;;;66.5352;-39.7143;0;Bottom;Copper Fill46
118;;;45.5218;-105.763;0;Bottom;TXT4
119;;THT;128.853;-23.4806;90;Bottom;J17
120;;;69.1532;-79.3993;0;Bottom;Via186
121;;;4.699;-15.9526;0;Bottom;Copper Fill23
122;;;145.451;-5.19552;0;Top;blkr5
123;;;66.586;-24.4489;0;Bottom;Copper Fill48
124;;;58.5185;-100.973;0;Bottom;TXT4
125;;;99.633;-36.2194;0;Bottom;Via714
126;;;10.7331;-76.8593;0;Bottom;Via732
127;;;5.6261;-15.0509;0;Bottom;Copper Fill22
128;;;86.9331;-8.27928;0;Bottom;Via670
129;;;127.573;-8.27928;0;Bottom;Via704
130;;;14.3549;-31.7724;-90;Bottom;microSD Transflash2
131;;THT;14.8961;-16.4074;-90;Bottom;J61
132;;;5.65313;-5.73928;0;Bottom;Hole4
133;;;60.2233;-81.853;0;Bottom;Copper Fill25
134;;;32.3231;-60.3493;-90;Bottom;MBED
135;;;43.7086;-96.1881;0;Bottom;TXT4
136;;;112.751;-38.7618;0;Bottom;Copper Fill11
137;;;112.343;-38.7207;0;Bottom;Via646
138;;;41.2131;-8.27928;0;Bottom;Via726
139;;;112.255;-38.2919;0;Bottom;Copper Fill10
140;;;129.973;-57.5651;-90;Bottom;TXT4
141;;;73.5329;-42.5338;0;Bottom;Copper Fill28
142;;;66.586;-22.6709;0;Bottom;Copper Fill49
143;;;112.255;-39.2571;0;Bottom;Copper Fill39
144;;;120.371;-38.7618;0;Bottom;Copper Fill8
145;;;19.685;-79.5416;0;Bottom;Copper Fill26
146;;;5.65312;-76.8593;0;Bottom;Via731
147;;;76.7731;-107.339;0;Bottom;Via713
148;;;36.1331;-8.27928;0;Bottom;Via725
149;;;65.6843;-23.5726;0;Bottom;Copper Fill50
150;;;66.586;-24.4489;0;Bottom;Copper Fill16
151;;;115.207;-20.3994;-90;Bottom;TXT2
152;;;46.266;-9.43752;0;Bottom;Copper Fill53
153;;;112.255;-39.2571;0;Bottom;Copper Fill9
154;;;145.983;-110.409;0;Bottom;blkr12
155;;;117.413;-8.27928;0;Bottom;Via703
156;;;26.7588;-82.0054;0;Bottom;Copper Fill34
157;;;56.3752;-9.43752;0;Bottom;Copper Fill51
158;;;51.1301;-55.1321;0;Bottom;Copper Fill29
159;;;99.992;-20.4855;-90;Bottom;TXT2
160;;THT;83.133;-92.0606;90;Bottom;J16
161;;;66.6132;-79.3993;0;Bottom;Via185
162;;;84.7754;-20.4491;-90;Bottom;TXT2
163;;;46.266;-7.25312;0;Bottom;Copper Fill54
164;;;119.405;-38.7618;0;Bottom;Copper Fill7
165;;;36.133;-89.5593;0;Bottom;Via730
166;;;8.1661;-49.8235;0;Bottom;Copper Fill24
167;;;145.451;-110;0;Top;blkr4
168;;;56.3752;-7.25312;0;Bottom;Copper Fill52
169;;;36.106;-9.43752;0;Bottom;Copper Fill55
170;;;107.263;-76.8206;0;Bottom;Via643
171;;;56.3752;-7.25312;0;Bottom;Copper Fill18
172;;;66.704;-57.7993;0;Bottom;blkr11
173;;;97.0931;-8.27928;0;Bottom;Via659
174;;;36.106;-7.25312;0;Bottom;Copper Fill56
175;;;31.0531;-8.27928;0;Bottom;Via701
176;;;145.353;-5.73928;0;Bottom;Hole3
177;;;122.493;-107.339;0;Bottom;Via712
178;;;46.2931;-8.27928;0;Bottom;Via724
179;;;20.8931;-8.27928;0;Bottom;Via699
180;;;82.1631;-20.3873;-90;Bottom;TXT2
181;;;26.7588;-82.0054;0;Bottom;Copper Fill6
182;;;69.4227;-95.1445;-90;Bottom;TXT2
183;;THT;113.613;-23.4806;90;Bottom;J15
184;;;20.893;-36.2194;0;Bottom;Via729
185;;;69.5026;-20.4646;-90;Bottom;TXT2
186;;;43.7641;-38.7237;0;Bottom;Copper Fill3
187;;;66.7547;-20.0314;-90;Bottom;TXT2
188;;;82.0099;-95.214;-90;Bottom;TXT2
189;;;140.62;-57.5977;0;Top;blkr3
190;;;140.389;-57.5282;0;Bottom;blkr10
191;;;8.1661;-48.1217;0;Bottom;Copper Fill60
192;;;13.2461;-15.0509;0;Bottom;Copper Fill57
193;;;107.253;-8.27928;0;Bottom;Via658
194;;;122.493;-8.27928;0;Bottom;Via702
195;;;25.9731;-8.27928;0;Bottom;Via700
196;;;119.963;-38.7207;0;Bottom;Via647
197;;;7.3152;-48.9726;0;Bottom;Copper Fill61
198;;;5.6261;-16.8543;0;Bottom;Copper Fill58
199;;;81.8531;-107.339;0;Bottom;Via711
200;;;56.4531;-8.27928;0;Bottom;Via723
201;;;5.6261;-15.0509;0;Bottom;Copper Fill59
202;;;85.6741;-36.2345;0;Bottom;Copper Fill4
203;;;114.873;-76.8593;0;Bottom;Via642
204;;THT;98.373;-23.4806;90;Bottom;J14
